"yearsBP","SPD","clim","conMM","decMM","wetwMM","wetmMM","pasMM","araMM","heaMM"
9700,0.00062282256701985,-1.82717035963,3099,1032,138,32,136,2,132
9600,0.000876504904697746,-1.87897377752,2638,1277,151,127,120,6,98
9500,0.00127671077429814,-1.95641745626,3017,2048,161,732,94,10,82
9400,0.00648442748345679,-1.41765328443,4547,1718,197,716,115,9,69
9300,0.00744021165838324,-1.51080069687,2489,1254,331,146,79,13,65
9200,0.00838227667265473,-0.819358867976,1813,1436,585,117,48,2,50
9100,0.00828982604082445,-0.831618516912,3949,1950,547,568,98,3,81
9000,0.00494154701439289,-1.33172783922,3196,2067,804,168,81,5,99
8900,0.00610236782204804,-1.12885675919,1328,1804,705,34,47,2,24
8800,0.00628192536082522,-1.34145556561,3696,2260,682,267,83,13,229
8700,0.00560430075439038,-1.518478599,3695,2568,1057,90,73,6,90
8600,0.00575394806546034,-1.49264369422,2701,2600,810,40,84,4,119
8500,0.00788444019725348,-1.79263146861,2917,3227,996,155,119,8,163
8400,0.00719632929353819,-1.49917984011,1778,2176,747,28,63,6,142
8300,0.000829145808833945,-1.23225066205,3420,3752,978,110,144,5,202
8200,0.000270202083111181,-1.61022324807,3596,3997,1020,44,109,10,144
8100,0.00413907431266806,-1.63756738332,3423,3840,1062,83,100,4,162
8000,0.0040641501110346,-1.57430244936,3103,3201,753,65,71,5,102
7900,0.0182506009697241,-0.471949447788,1614,2128,691,17,24,6,17
7800,0.0142562368465575,-0.359384559879,2310,3050,835,61,53,2,77
7700,0.0130468516981616,0.183292663978,2862,4223,1406,70,59,4,80
7600,0.00983792762333354,0.199573096129,1379,1962,478,95,19,7,8
7500,0.0109819645951527,-0.076158345702,3231,4630,1263,35,69,6,56
7400,0.00324127219686088,-0.231575606725,2110,3651,1001,41,77,8,66
7300,0.00453110089450805,-0.0658524641845,1801,2823,799,81,23,3,17
7200,0.0199418642415781,-0.00609890934255,2026,4073,764,267,80,6,64
7100,0.0120177672482673,0.021962528452,984,2378,700,108,9,7,16
7000,0.0116784130013322,0.533020445295,2602,4262,823,29,68,3,65
6900,0.00893603819197359,0.167513049574,2397,3961,733,22,52,7,32
6800,0.00976606317720316,-0.0407457858089,1783,3247,518,54,21,1,11
6700,0.0115250746177271,0.576399824184,1927,3090,794,32,59,3,83
6600,0.0165778888925529,0.472801614426,2095,3645,907,119,57,5,42
6500,0.0176556639475802,0.589571014062,1808,2784,690,66,33,2,35
6400,0.0123001381666488,0.807114266389,2235,2991,547,44,61,3,65
6300,0.012616108505525,0.451045327967,1966,4021,751,120,29,5,25
6200,0.0246114757977164,0.0899247310582,1364,2751,490,12,33,5,31
6100,0.0211226158694251,0.50096337287,2065,3053,476,50,61,3,70
6000,0.0207024329513403,1.55779929381,1244,2500,519,61,24,5,18
5900,0.0276657935414934,1.96607468692,2810,4321,848,42,40,13,56
5800,0.0208380732334571,1.38653980781,2425,3708,599,20,74,8,69
5700,0.0235836967680849,1.18770462646,1458,2543,501,30,40,5,35
5600,0.0227515282564877,0.750673374094,3284,4716,945,32,67,9,63
5500,0.0204195263123744,0.930355438056,3145,4134,713,31,46,13,38
5400,0.00990502481432169,0.705210822826,2053,2770,390,84,41,3,33
5300,0.00953678466906759,0.629561814273,2933,4028,623,18,71,10,104
5200,0.019839663889543,0.643869867016,2922,4135,643,31,35,6,66
5100,0.0200143305633808,0.800152292072,3101,4433,811,47,48,5,66
5000,0.0201920687468241,1.00423943562,3187,3621,611,20,72,5,131
4900,0.0299519922547222,0.92569126536,2437,2735,390,22,14,2,24
4800,0.0299512707038206,1.14406955423,2079,2839,521,66,46,9,54
4700,0.0215350296716837,1.50192229509,2821,3542,565,414,51,4,79
4600,0.0207456248615014,1.69647915454,3452,4014,655,41,66,4,48
4500,0.0213598609025645,1.13870943504,1893,2170,300,142,18,3,22
4400,0.0133351223081813,1.42970555594,3345,3803,670,83,55,5,96
4300,0.014472923079894,0.832283065862,2359,3343,474,95,52,7,64
4200,0.0175769221759519,0.946767395703,3102,2969,504,150,22,4,36
4100,0.0159622387367713,0.95979330649,5108,4514,801,48,98,9,137
4000,0.0134922857896518,1.31184485593,3973,3804,571,54,55,4,40
3900,0.0127414326675369,1.7654450172,4490,4442,622,95,89,7,128
3800,0.0120272198999638,0.78069654553,5298,5284,810,77,69,14,78
3700,0.0139312134669195,1.32575054696,7413,5903,876,85,92,14,89
3600,0.0247321625455589,1.35458361939,3507,3264,512,55,107,9,176
3500,0.0393361603397865,1.42873396391,2664,2604,450,30,35,8,45
3400,0.0395159330638826,0.992621550252,4303,4391,586,405,100,11,99
3300,0.0397021037732623,0.955663861995,3763,4371,604,260,69,10,98
3200,0.0409536607036616,1.42658274261,4771,5058,797,93,60,9,80
3100,0.0427013398878816,1.71145815462,4752,4827,677,69,91,16,142
3000,0.0407425092035893,1.95975330237,4316,3623,651,50,48,5,55
2900,0.05326010334218,2.05997101612,4366,4626,740,98,145,15,144
2800,0.0628627846105848,1.66680303854,5589,5073,769,28,53,3,81
2700,0.0721976210356251,1.42451888806,3340,2983,606,56,53,7,62
2600,0.0696767213094019,0.796751735433,5900,4728,667,114,120,6,173
2500,0.0667118417251671,0.962712806438,3366,2966,454,18,57,8,66
2400,0.081901911731574,0.660299150714,5103,4158,682,72,156,14,156
2300,0.123704493125216,0.634668119995,2992,2882,550,22,125,6,91
2200,0.151103733760014,0.955127905031,2014,1929,380,137,47,2,26
2100,0.16311762507111,-0.0513365879145,4814,3753,694,67,129,4,126
2000,0.177689423342968,0.810911746516,3993,2782,582,26,149,14,118
1900,0.17096562603754,0.737202717423,4886,3126,538,72,167,9,194
1800,0.191963929109422,1.47358998239,4693,2553,491,84,139,14,171
1700,0.236545094406955,1.60228615144,3968,1904,379,45,89,11,54
1600,0.266513044728602,1.76118481384,5355,3016,520,68,166,14,201
1500,0.332243641556822,1.56973181325,3979,2719,462,79,191,16,177
1400,0.359110936062394,0.547511723835,4330,2633,484,193,197,27,229
1300,0.251758092487332,1.06050311335,3188,2308,468,271,213,23,233
1200,0.176356689418615,1.18697896833,4057,2327,454,389,245,21,260
1100,0.175023098610283,0.705442369664,2840,1701,229,347,225,17,203
1000,0.234674812994463,0.958469025578,4530,2286,333,198,169,30,209
