"yearsBP","SPD","clim","conMW","decMW","wetwMW","wetmMW","pasMW","araMW","heaMW"
9700,0.0000346026020821043,0.0740950351674,923,939,127,57,149,2,192
9600,0.0000662056179329595,-0.120373705175,283,622,58,45,92,7,97
9500,0.000122306268788378,-0.0875352295274,454,790,86,88,71,9,172
9400,0.00272748100759499,0.541608231783,1040,860,130,68,113,4,167
9300,0.0064570019720357,0.285899415215,838,1099,115,66,161,13,223
9200,0.00545774640815048,1.03374075122,453,453,110,26,119,3,159
9100,0.00569031935019587,0.880936064426,1195,1255,173,106,189,10,273
9000,0.00863633522600947,0.137820766339,1222,1019,180,64,93,23,179
8900,0.00954189349021869,0.369234643123,485,810,129,36,128,4,139
8800,0.00942361334843759,0.124330884985,757,672,204,86,49,1,124
8700,0.00867320956298699,0.0657963768521,918,1351,175,87,187,8,202
8600,0.00705621835570299,0.18848581744,926,958,174,112,126,1,152
8500,0.0158664291282253,-0.150917540127,555,701,342,77,43,1,95
8400,0.0172664128701778,0.14362841983,324,206,11,8,48,0,28
8300,0.00836142243236807,0.36133237846,959,831,434,100,116,3,200
8200,0.00753249166091292,0.00415688336185,593,539,433,46,32,1,96
8100,0.00249540776675514,0.118606024626,1132,921,239,68,80,2,130
8000,0.00270294515321807,0.0239496059573,791,464,350,69,73,0,99
7900,0.00366503977757405,1.52840553542,655,915,549,88,87,2,101
7800,0.0151229297240699,1.47494088972,962,851,362,97,60,4,207
7700,0.022942651214167,2.12937581327,691,439,311,59,39,2,123
7600,0.0178593958472747,2.17002471368,681,969,541,72,100,5,122
7500,0.00360076851600782,1.91833295278,392,537,193,39,42,1,39
7400,0.00140623206277439,1.69573606928,703,855,578,69,99,4,148
7300,0.0140057406517499,1.87870918864,563,825,407,92,38,4,83
7200,0.00410824031111522,1.96451534076,584,872,474,78,102,1,126
7100,0.00684536314764795,2.13760476784,496,693,388,58,43,5,50
7000,0.00716083552473083,2.55904118394,505,620,180,23,36,0,183
6900,0.00418236848218751,2.23435247564,864,1538,722,116,159,5,195
6800,0.00246054944977814,2.02388894918,155,274,82,7,4,0,9
6700,0.00779555929283718,3.06990397613,780,803,289,102,86,4,133
6600,0.0182987510243136,3.02352299372,603,1087,352,58,91,2,117
6500,0.00986922412697101,3.19099314015,721,1404,589,102,125,0,155
6400,0.00740058587885387,3.30231822288,947,1833,665,167,161,7,215
6300,0.0182370711956106,2.69862884413,431,876,252,54,64,3,70
6200,0.0178076586560039,2.24367399154,763,1452,396,122,125,1,98
6100,0.0161951775257933,2.77600458625,558,710,239,104,47,1,50
6000,0.0149139611832174,4.2065477789,468,921,169,89,124,2,127
5900,0.00978762537059225,4.98480630872,1029,1249,406,116,114,1,94
