"yearsBP","SPD","clim","conN","decN","wetwN","wetmN","pasN","araN","heaN","conNs","decNs","wetwNs","wetmNs","pasNs","araNs","heaNs"
9000,0.0149869653826892,-2.10882840801,766,3245,155,134,218,13,196,508.333333333333,2274.375,151.666666666667,105.25,169.571428571429,11,134
8900,0.0233540059206281,-1.79537629138,742,3407,148,137,230,15,261,576,2414.875,151.333333333333,106.25,177.857142857143,14,159.285714285714
8800,0.0226602105745247,-2.03688515597,344,873,62,53,152,4,110,567.833333333333,2239.625,121.666666666667,100.25,179.428571428571,9.5,157.714285714286
8700,0.0294047826006765,-2.41174676551,915,3166,148,159,293,11,225,675.5,2474.875,119.333333333333,112.75,206.857142857143,7.5,176.714285714286
8600,0.0358279396866661,-2.21508703892,1229,2529,115,98,143,6,148,724.333333333333,2409.5,108.333333333333,111.5,205.571428571429,8.5,185.285714285714
8500,0.0537241246546632,-2.55536785893,1147,3107,216,248,332,16,370,857.166666666667,2649.125,159.666666666667,134.25,205.142857142857,11,193.714285714286
8400,0.0247216733581259,-2.38742016114,402,1331,87,46,74,0,135,796.5,2315.625,139.333333333333,118.375,206,8,206.428571428571
8300,0.028043472799919,-2.35642854651,1273,2801,188,179,298,13,384,885,2557.375,163.666666666667,131.75,217.428571428571,6.5,233.285714285714
8200,0.0231570457804247,-2.38810345149,1341,2233,144,144,143,10,266,1051.16666666667,2430.875,139.666666666667,133,205,11.5,234
8100,0.0423477739825084,-2.55291640232,881,2397,347,150,208,10,332,1045.5,2304.625,226.333333333333,134.625,213,10,265.714285714286
8000,0.0461181282026373,-2.43499661665,1396,2172,423,124,216,21,289,1073.33333333333,2467,304.666666666667,143.5,202,15.5,274.857142857143
7900,0.0710349859267223,-1.5266950666,1559,3250,627,199,204,13,329,1142,2477.5,465.666666666667,148.5,210.714285714286,17,300.714285714286
7800,0.0689319194014979,-1.28821349932,1273,2282,550,170,140,6,406,1287.16666666667,2446.625,533.333333333333,157.5,183.285714285714,9.5,305.857142857143
