"yearsBP","SPD","clim","conSE","decSE","wetwSE","wetmSE","pasSE","araSE","heaSE"
9700,0.00138898630553245,-0.969313746553,720,1106,147,32,252,21,245
9600,0.00128635216922541,-0.935068136946,2250,2213,487,127,201,20,84
9500,0.0015340593160954,-0.95917450551,1472,2033,338,732,268,33,121
9400,0.0038670511025462,-0.670425304382,2479,2518,516,716,254,26,92
9300,0.00372137488296295,-0.710311737391,2695,1837,556,146,215,7,88
9200,0.00410071382943364,-0.206544948369,2651,2539,696,117,445,15,311
9100,0.00427376425267865,-0.334457846459,1593,2595,675,568,104,11,46
9000,0.00500132382385769,-0.544984660302,1703,2814,635,168,517,14,196
8900,0.00481648629821418,-0.371049857803,1080,2215,624,34,62,4,261
8800,0.00482875265368701,-0.593811757306,2401,3122,889,267,231,12,110
8700,0.00492524471477712,-0.883774918138,2012,3330,930,90,516,7,225
8600,0.00523249789174618,-1.05493861239,1638,2435,593,40,50,3,148
8500,0.0072027093586989,-1.24637883823,1895,2763,813,155,75,15,370
8400,0.00802179566923395,-1.0703911513,1461,2396,697,28,56,5,135
8300,0.0095244128246184,-0.853440247085,1628,2603,1105,110,98,14,384
8200,0.0088384292478837,-1.04746551781,2016,3952,1023,44,158,11,266
8100,0.00837555493418671,-1.23846850097,1528,2518,502,83,34,11,332
8000,0.00838105703127126,-0.991120225452,1659,2280,823,65,66,11,289
7900,0.00586430412933272,-0.359731129329,1045,1010,452,17,11,4,329
7800,0.005396446613873,-0.0773111177256,1225,1549,436,61,31,8,406
7700,0.00471233139707818,0.218759448132,2009,3357,740,70,138,8,129
7600,0.00456230667810437,0.331832431993,1147,2929,617,95,59,5,405
7500,0.00526989667514724,0.0902570706716,1429,2086,576,35,46,8,197
7400,0.00554070103540826,0.0382406403274,1389,1387,472,41,35,4,163
7300,0.00642639014476465,-0.00342616516306,1375,2897,612,81,73,20,213
7200,0.00671276913181678,0.142856551539,793,2610,495,267,165,5,73
7100,0.00878593354443702,0.012004057626,1433,3243,852,108,57,15,221
7000,0.00897085619528747,0.440557332389,919,2584,451,29,51,4,139
6900,0.0115068071508765,0.275191580459,895,1748,293,22,43,3,157
6800,0.0113029126255833,0.0531836334089,988,2957,624,54,50,11,161
6700,0.00965298492721647,0.382962366983,1309,2681,641,32,100,6,163
6600,0.00924879289647768,0.314344716772,1569,3643,885,119,51,11,163
6500,0.0111171743589566,0.414721112423,541,1855,372,66,27,7,266
6400,0.012127950722992,0.581531001513,1395,3407,625,44,44,7,209
6300,0.0102099980121295,0.421510621992,1123,2708,713,120,51,12,256
6200,0.0097390293654878,0.151230884335,366,1577,416,12,36,4,148
6100,0.0101515780706647,0.544026949847,1061,2080,327,50,43,7,274
6000,0.0101659470607115,1.23681318525,1403,3463,693,61,55,11,244
5900,0.0101477660561775,1.39360329004,562,1000,505,42,24,5,161
5800,0.0107416809350941,0.870121193127,809,2691,407,20,41,6,342
5700,0.0107635806124917,0.85699103365,934,2781,1158,30,65,7,137
5600,0.0117090743983817,0.598952047393,826,1365,255,32,13,6,284
5500,0.00684529561585023,0.726352160008,630,1671,534,31,17,3,317
5400,0.00522811100383422,0.530336921889,1391,2562,457,84,48,9,267
5300,0.00526620722996435,0.612003030831,913,2481,586,18,141,10,287
5200,0.00507888232952973,0.58469514228,841,2114,1521,31,25,7,147
5100,0.00487520486260966,0.541253593745,502,1077,214,47,24,3,284
5000,0.00524437114312549,0.786829552665,695,2079,502,20,21,2,238
