"yearsBP","SPD","clim","conSM","decSM","wetwSM","wetmSM","pasSM","araSM","heaSM"
1400,0.442785937968547,2.73554736649,549,948,1671,19,772,124,703
1500,0.501064094238584,2.6388290638,1376,1125,1282,49,134,50,409
1600,0.519767826187926,2.64149245242,490,895,1251,80,188,84,634
1700,0.443247422371677,3.2436573534,1669,572,1003,49,118,83,271
1800,0.407127769178347,3.11734700118,495,1062,387,110,131,41,211
1900,0.403104410588389,3.66918460972,1416,1046,2184,63,180,55,482
2000,0.443395485549681,3.63252605588,2613,3203,2509,117,1485,633,913
2100,0.462581661600049,3.03080930693,1149,1809,2138,58,865,356,649
2200,0.50703791591382,3.05110721158,2117,3563,3293,81,2353,984,1932
2300,0.552104592022231,2.94036242557,792,1931,2581,44,766,283,965
2400,0.386597549500892,2.85657230074,4077,8294,4380,212,2960,860,3081
2500,0.361800609693341,2.80901531419,1263,5900,1471,187,1513,306,750
2600,0.355833471603235,2.50599383617,1411,9177,3258,309,2148,666,717
2700,0.467884126846064,2.86279095274,1117,5909,1999,194,2245,577,201
2800,0.411267610286886,3.19558005425,1597,2694,1299,132,889,255,190
2900,0.408200484635033,2.79977080775,629,3810,1507,166,1734,470,267
3000,0.335179458651335,2.78412534025,1115,4608,2191,153,1553,264,1020
3100,0.318833599060141,2.75017365744,505,2400,2364,98,910,140,368
3200,0.329765822624567,3.94016538936,1362,5498,2986,173,1206,167,743
3300,0.373931180169862,4.01253251459,297,1969,1084,85,639,80,261
3400,0.423885242610624,4.4276238809,440,2538,1107,63,583,66,298
3500,0.268661007627017,4.54791843539,263,1695,703,83,698,90,36
3600,0.244045730237264,4.40693500001,830,4041,2164,156,1408,197,137
3700,0.268205784895791,4.19959092767,1079,3850,1772,118,1222,151,80
3800,0.256779014528011,4.32853826294,229,2131,1033,94,572,51,230
3900,0.234457127991959,4.24126223548,1073,2746,782,76,686,78,85
4000,0.239156690384321,4.46457337061,472,1609,611,49,644,34,58
4100,0.203835778139881,4.98065104025,336,1974,1068,42,843,54,150
4200,0.160039681798992,4.64351838042,590,2026,774,41,631,58,46
4300,0.160604044771409,4.48891015366,1209,2991,1245,58,825,80,323
4400,0.196051203829478,5.00724129354,442,1954,896,39,641,64,285
4500,0.201818990919839,5.04214096892,672,2180,1146,56,619,56,211
4600,0.21210829680677,5.11223431802,1273,2503,1022,42,532,73,126
4700,0.226055927863505,5.20204954674,485,2075,1551,25,391,56,348
4800,0.275277332060325,4.93205889874,224,353,103,4,35,1,15
4900,0.271340323254892,4.50389266608,83,248,507,1,5,4,217
5000,0.229421752521631,4.86137378889,1170,2920,1261,27,291,41,118
5100,0.222986817441281,5.86948630641,488,2118,1297,18,347,40,94
5200,0.221878944500004,6.14914359239,459,2143,1315,16,324,30,159
5300,0.298541800917724,5.82336769034,1032,2638,1426,28,366,42,84
5400,0.303539970567995,5.62822780902,112,236,587,0,7,2,281
5500,0.325141259254457,5.36182516132,364,1899,1261,19,244,40,195
5600,0.286935368291124,5.43116042044,248,1573,1054,6,178,29,390
5700,0.191214405058101,5.08147142088,356,667,1477,4,23,0,217
5800,0.182799578618216,5.11577250378,978,2454,2242,21,187,14,365
5900,0.124935988192113,5.14624760399,277,665,456,5,22,4,1006
6000,0.085212167481652,5.21662133867,229,1636,3976,10,130,6,189
6100,0.0810470686714404,5.51490249122,296,572,425,8,20,3,602
6200,0.0627518796691164,5.37966896516,154,516,943,1,7,1,672
6300,0.0789740936856406,5.48078802083,998,2747,8385,20,157,19,312
6400,0.0749365704046029,6.0213224197,161,1698,587,2,115,11,3
6500,0.071734079060781,6.06385072427,1073,2754,4687,25,142,14,24
6600,0.0738490267649589,5.63421767299,431,2030,1273,25,107,7,570
6700,0.0811992867862291,5.89558679987,83,300,231,2,10,0,166
6800,0.0710869993217112,5.36477124794,625,2211,1647,16,158,13,685
6900,0.0612316577915068,5.38092078204,976,2108,1276,17,157,17,804
7000,0.05874095101969,5.41144853644,536,1704,944,15,130,5,32
7100,0.0588038908609143,5.78708241525,66,277,336,8,7,2,209
7200,0.0632511616724496,6.13402542532,457,1751,1055,22,128,9,26
7300,0.0933476137769322,5.32444763674,100,379,1027,1,1,1,158
7400,0.0839626429572275,5.69406848213,513,2212,1131,21,130,2,219
7500,0.0758826707146461,5.74188040076,766,1183,843,15,29,5,521
7600,0.0952966918555369,5.93718566963,592,2025,1934,26,151,8,339
7700,0.101493833271581,5.52886622864,378,1845,1376,14,92,2,151
7800,0.105519078935788,5.61009780757,1107,2848,1432,21,147,13,261
7900,0.0871298018229269,5.9645889664,193,1677,885,12,85,5,95
8000,0.0678569130604933,6.15490980388,420,2022,809,21,123,0,33
8100,0.0682420553075852,6.45994844133,170,2117,980,5,98,2,170
8200,0.0606180598438105,6.50814527658,1061,1199,527,17,81,5,105
8300,0.0418642191200059,6.08352896082,282,2032,1154,17,97,9,129
8400,0.0418395439144559,5.88564868779,447,1945,913,19,120,2,19
8500,0.0421940207894556,5.36363017886,864,3448,1533,27,191,8,28
8600,0.0343483001062904,5.48099330083,752,3142,1531,20,158,11,10
8700,0.0346590444500911,5.24592006055,1599,3030,1136,333,94,15,34
8800,0.038225495536744,5.19140358917,1007,2413,912,125,116,10,18
8900,0.0374562647475514,5.39380472001,470,1627,800,26,85,8,3
9000,0.0315902056497526,4.46294134267,1133,2034,770,82,72,8,32
9100,0.0360157107053128,5.13279579009,1208,768,293,45,31,2,2
9200,0.0383308343426875,5.18027865802,944,2071,906,17,128,6,18
9300,0.0457694575624395,5.9976526384,862,2333,1415,22,649,10,27
9400,0.0560080834108675,6.11661710458,1441,2128,1041,32,268,8,11
9500,0.0627130068760997,6.35993502562,841,2318,1013,24,133,5,21
9600,0.0355161786706541,5.97305653588,1133,2081,867,27,156,3,14
9700,0.0244383992990292,4.81009327499,2062,3156,1307,46,208,12,41
9800,0.0217664175307635,5.55575222153,1258,1427,625,18,81,3,26
9900,0.0146711207977366,5.7744753822,1679,2222,811,18,174,8,21
10000,0.0151960151922494,5.37109214536,1734,2826,1302,27,206,10,32
