"X.1","X","LabID","weighted_mean","long","lat","Material"
1,1,"AA 1841",4925.8180454054,13.91,55.48,"plant macrofossils"
2,2,"AA 1842",4708.54340305918,13.8992,55.4738,"plant macrofossils"
3,3,"AA-1841",4925.8180454054,13.89239,55.46033,"grain"
4,4,"AA-1842",4722.58104839253,13.8992,55.4738,"grain"
5,5,"AA-1845",3718.4559999472,13.89239,55.46033,"grain"
6,6,"AA-1846",3797.46322261947,13.89239,55.46033,"grain"
7,7,"AA1841",4925.8180454054,13.8924,55.4603,"grain"
8,8,"AA1842",4708.54340305918,13.8992,55.4738,"grain"
9,9,"AA1845",3718.4559999472,13.8924,55.4603,"grain"
10,10,"AA1846",3797.46322261947,13.8924,55.4603,"grain"
11,11,"AAR 10233",5059.06811024072,13.5781,58.1698,"bone"
12,12,"AAR 10239",4729.11566304953,13.6328,58.1901,"bone"
13,13,"AAR 11205",3990.19635585045,11.7297,57.7394,"bone"
14,14,"AAR-10237",5073.1262125549,13.60635,58.22955,"collagen bone"
15,15,"AAr-10238",5157.2347810708,13.6063,58.2295,"human bone"
16,16,"ANL-1306",4011.68468030034,16.06605,56.44827,""
17,17,"ANL-1358",3850.27122564666,16.06605,56.44827,""
18,18,"ANL-1373",5160.69086976999,16.06605,56.44827,""
19,19,"ANL-1395",4208.36850802666,16.06605,56.44827,"charcoal"
20,20,"ANL-1396",3880.19994809902,16.06605,56.44827,""
21,21,"ANL-1409",4490.69872678874,16.06605,56.44827,"charcoal"
22,22,"ANL-1412",4270.25239269694,16.06605,56.44827,""
23,23,"ANL-1415",4195.83474868294,16.06605,56.44827,""
24,24,"BM410",5579.20911992317,13.11,55.58,""
25,25,"Beta 34671",4312.48141144534,15.5894,58.4295,"charcoal"
26,26,"Beta 36585",5123.62576486868,16.4919,56.2671,"charcoal"
27,27,"Beta 36820",4633.97900819988,17.7065,59.2885,"charcoal"
28,28,"Beta 37188",4776.27106533711,15.6346,58.4209,"charcoal"
29,29,"Beta 37682",5793.61217417879,17.75,59.1667,"charcoal"
30,30,"Beta 46408",10439.648180749,12.91,56.66,"charcoal"
31,31,"Beta 61799",4461.01288273362,15.5991,58.4311,"charcoal"
32,32,"Beta 63329",4465.9733678512,18.0867,59.4651,"charcoal"
33,33,"Beta 70635",5431.58566334918,13.0435,56.5133,"food residue"
34,34,"Beta 71664",5130.6394250784,12.6833,56.75,"charcoal"
35,35,"Beta-402962",5110.00604342448,18.1408,57.5084,"bone"
36,36,"Beta-402963",4703.88399615774,18.1408,57.5084,"bone"
37,37,"Beta-402965",5051.69854250936,18.1408,57.5084,"bone"
38,38,"Beta-432256",5210.95837821105,18.1408,57.5084,"tooth"
39,39,"Beta-432257",5273.48709107001,18.1408,57.5084,"tooth"
40,40,"Beta-58327",2250.33637508383,14.09822,57.41483,"charcoal"
41,41,"Beta-58328",3170.86231833636,14.09822,57.41483,"charcoal"
42,42,"Beta-58330",2592.04887079332,14.09822,57.41483,"charcoal"
43,43,"Beta-58334",1288.6079657077,14.10111,57.4087,"charcoal"
44,44,"Beta-58335",1526.73068478658,14.10111,57.4087,"charcoal"
45,45,"Beta-67758",4102.07809058203,14.10009,57.39712,"charcoal"
46,46,"Beta-71658",5980.1392875127,13.05,56.52,"grain"
47,47,"Beta-71664",5130.6394250784,12.99,56.57,"charcoal"
48,48,"Beta-71665",5423.80146495386,12.99,56.57,"food remains"
49,49,"CAMS-42",5509.40968666113,13.117,55.533,"charcoal"
50,50,"ETH-9814",5475.44494010612,15.1017,58.3607,"charcoal"
51,51,"GrA 14296",5060.29683080843,13.6473,58.2283,"bone"
52,52,"GrA 14299",4862.87308339187,13.4,58.183,"bone"
53,53,"GrA 15100",4908.67259073109,11.9409,57.4164,"charcoal"
54,54,"GrA 15135",5227.63978878921,13.5167,58.0833,"bone"
55,55,"GrA 16558",4957.0942133536,12.23,57.26,"charcoal"
56,56,"GrA 17692",853.990445087602,12.9459,59.1251,"charcoal"
57,57,"GrA 17901",130.05556734638,12.823,59.1878,"bone"
58,58,"GrA 18511",5416.38627043173,11.95,57.7667,"food residue"
59,59,"GrA-12391",3893.68515367831,11.9167,58.2833,""
60,60,"GrA-12735",4623.77024612594,13.0416,55.564,"bone"
61,61,"GrA-14136",4873.63096128557,11.2,58.9,"bone"
62,62,"GrA-14139",4555.36419493763,11.2,58.9,"bone"
63,63,"GrA-14141",4067.94345188156,11.2,58.9,"bone"
64,64,"GrA-14142",4956.36815010141,11.2,58.9,"bone"
65,65,"GrA-15102",5355.2435046015,11.2,58.9,"bone"
66,66,"GrA-15113",4555.36419493763,11.1792,58.9663,"bone"
67,67,"GrA-15118",4685.78775080269,13.5321,58.1673,"bone"
68,68,"GrA-15124",4685.78775080269,11.2,58.9,"bone"
69,69,"GrA-15169",4979.0639103546,11.3032,58.4413,"bone"
70,70,"GrA-15250",5128.03858602613,14.2833,56.05,"bone"
71,71,"GrA-16175",7663.47465178214,11.4985,58.3111,"seed"
72,72,"GrA-16283",2503.16659055459,11.486,58.5604,"bone"
73,73,"GrA-16555",4839.27471965403,11.3043,58.5423,"food remains"
74,74,"GrA-16854",4716.25017515842,16.44097,56.51798,"collagen bone"
75,75,"GrA-16855",5409.94744504396,16.44097,56.51798,"collagen bone"
76,76,"GrA-16856",5229.2634208032,16.44097,56.51798,"collagen bone"
77,77,"GrA-16857",5167.6945590038,16.44361,56.54139,"collagen bone"
78,78,"GrA-16858",5167.6945590038,16.441,56.518,"bone"
79,79,"GrA-16859",4966.12747490501,16.7,56.88306,"collagen bone"
80,80,"GrA-16860",4862.87308339187,16.7,56.88306,"collagen bone"
81,81,"GrA-16863",4927.24496011448,16.7,56.88306,"collagen bone"
82,82,"GrA-16864",4982.59777865073,16.7,56.88306,"collagen bone"
83,83,"GrA-17688",10667.7814339655,13.5553,58.26808,"charcoal"
84,84,"GrA-17729",2801.03856654936,11.7956,57.7439,"food remains"
85,85,"GrA-17735",5407.59733869254,11.7965,57.7388,"food remains"
86,86,"GrA-17741",2208.84695364059,11.8333,57.75,"charcoal"
87,87,"GrA-17860",5724.05676893678,11.81667,58.15,"food remains"
88,88,"GrA-17909",5031.84798052349,13.61596,58.14677,"collagen bone"
89,89,"GrA-17911",4955.74744878658,12.13333,57.48333,"collagen bone"
90,90,"GrA-18516",4530.80261147147,11.99583,57.38322,"food remains"
91,91,"GrA-18602",9870.89340208304,11.9442,57.5483,"bone"
92,92,"GrA-22167",5520.50024313038,13.04501,55.56733,"collagen bone"
93,93,"Hv 8992",5588.32440061636,13.95,55.46,"charcoal"
94,94,"K-2678",5704.79593004601,13.119,57.1333,"charcoal"
95,95,"KI 2678",5704.79593004601,12.36,57.14,"charcoal"
96,96,"KI 2694",2571.83118577515,12.31,57.2647,"charcoal"
97,97,"KI-2678",5704.79593004601,12.35,57.13333,"charcoal"
98,98,"KI-2694",2571.83118577515,12.31203,57.26291,"charcoal"
99,99,"KI-2695",7123.49980123559,12.31203,57.26291,"charcoal"
100,100,"KI-2696",3924.46333541805,12.31203,57.26291,"charcoal"
101,101,"KI-2698",5460.97650715555,12.31203,57.26291,"charcoal"
102,102,"KI-2700",6456.74477202586,12.31203,57.26291,"charcoal"
103,103,"KI-2701",6763.62571687851,12.31203,57.26291,"charcoal"
104,104,"KI-2702",6600.1732693235,12.31203,57.26291,"charcoal"
105,105,"Ki-2694",2571.83118577515,12.312,57.2629,"charcoal"
106,106,"Ki-2695",7123.49980123559,12.312,57.2629,"charcoal"
107,107,"Ki-2696",3924.46333541805,12.312,57.2629,"charcoal"
108,108,"Ki-2698",5460.97650715555,12.312,57.2629,"charcoal"
109,109,"Ki-2700",6456.74477202586,12.312,57.2629,"charcoal"
110,110,"Ki-2701",6763.62571687851,12.312,57.2629,"charcoal"
111,111,"Ki-2702",6600.1732693235,12.312,57.2629,"charcoal"
112,112,"Kn-103",5646.8434494633,13.18,55.58,"charcoal"
113,113,"Lu 12",5491.2802213408,13.25,55.76,"charcoal"
114,114,"Lu 1250",4129.24263459183,14.0334,55.4353,"charcoal"
