"higher_ends","t1","t2","t4","t5","t7","t8","t9","t10","t11","t12","t13","t14","t15","t17","t18","t19","t20","t21"
0,9.43,10.58,7.31,NA,11.12,NA,15.23,9.41,NA,NA,-0.63,NA,10.93,11.12,11.47,11.6,11.35,NA
100,9.47,10.54,7.75,10.57,10.97,0.31,14.88,9.59,11.39,NA,-0.52,13.04,10.98,11.23,10.96,11.64,11.92,NA
200,10.02,10.49,8.19,10.23,11.22,0.89,14.53,8.91,10.83,10.73,0.26,12.68,11.03,11.34,10.42,11.69,12.03,NA
300,10.18,10.45,8.28,9.9,11.47,0.41,14.18,9.2,10.26,10.33,-0.14,15.33,11.12,11.12,10.61,11.73,12.14,NA
400,9.82,10.71,8.49,9.98,10.88,-0.07,13.83,9.28,10.81,9.93,-0.54,12.78,11.03,10.9,10.8,12.26,12.03,NA
500,9.98,10.97,8.81,10.06,11.26,0.16,13.85,9.11,11.36,10.05,0.62,12.39,10.94,10.86,10.96,12.79,11.92,NA
600,9.99,11.24,8.49,10.14,11.11,0.39,13.87,9.19,11.27,10.16,0.5,12.26,11.3,10.83,11.12,12.93,11.82,NA
700,9.59,11.5,9.47,10.18,11.27,0.54,13.88,9.27,11.17,10.26,0.36,12.13,11.03,11,10.88,13.06,11.72,NA
800,9.7,11.53,9.31,10.22,11.14,0.76,13.9,9.71,11.08,10.36,-0.88,12.07,10.76,11.17,10.64,12.82,11.67,NA
900,9.93,11.56,8.84,10.26,11.98,0.97,13.92,9.11,11.09,10.49,-0.48,13.55,11.3,11.34,10.85,12.83,11.62,NA
1000,9.93,11.59,9.28,10.81,11.2,0.86,13.94,9.71,11.11,10.61,-0.09,13.82,11.6,11.29,11.06,12.84,11.46,NA
1100,9.8,11.62,9.37,11.35,11.15,0.74,13.95,9.77,10.97,10.65,-0.05,14.1,11.25,11.25,10.92,12.2,11.3,NA
1200,9.67,11.54,9.01,11.9,11.05,0.63,13.97,9.59,10.83,10.69,-0.42,12.91,11.45,11.22,10.78,12.5,11.67,12.28
1300,9.53,11.46,9.08,11.73,11.45,0.37,13.99,9.62,10.81,10.55,-0.78,11.72,11.65,11.19,10.64,12.79,11.77,12.11
1400,9.6,11.38,8.8,11.56,11.52,0.11,14,9.61,10.78,10.41,0.61,11.59,11.28,11.17,11.09,12.8,11.87,11.94
1500,9.68,11.3,9,11.39,10.95,1.1,14.02,9.23,10.76,10.81,0.17,12.87,11.65,11.21,11.54,12.82,12.02,11.77
1600,9.71,11.29,9.19,9.4,11.22,2.08,14.04,9.54,10.7,11.22,-0.27,14.15,11.87,11.26,11.25,12.83,12.18,12.13
1700,9.71,11.29,9.13,10.05,11.07,1.07,14.05,9.41,10.63,10.85,-0.14,13.95,12.1,11.31,10.97,12.66,11.66,12.49
1800,9.89,11.28,9.07,10.7,10.92,0.06,14.07,9.73,10.57,10.48,0.31,13.75,11.65,11.37,10.69,12.48,11.88,12.85
1900,9.46,11.27,9.49,11.04,11.37,0.28,14.09,9.57,10.51,10.91,0.77,13.14,11.19,11.28,11.06,12.31,12.1,12.84
2000,9.77,11.41,9.92,11.39,10.84,0.51,14.07,9.38,10.7,10.93,0.18,12.53,11.12,11.2,11.42,12.13,11.97,12.84
2100,9.95,11.55,9.05,11.39,11.34,0.6,14.05,9.79,10.88,10.94,0.27,13.04,11.05,11.12,11.25,12.24,11.83,12.77
2200,9.27,11.68,8.88,11.25,10.62,0.69,14.04,9.55,11.07,10.31,0.36,12.14,11.25,11.16,11.07,12.35,11.65,12.69
2300,9.42,11.82,8.72,11.11,10.45,0.04,14.02,9.41,11.25,10.25,-0.17,11.23,10.8,11.2,10.9,12.46,11.71,12.61
2400,9.06,11.87,9.18,10.71,10.07,-0.62,14.01,9.6,11.44,10.19,0.22,12.06,11.39,11.3,10.88,12.57,11.76,12.53
2500,9.55,11.92,9.64,10.32,10.43,-0.53,13.99,9.57,11.5,10.55,-0.31,12.59,11.99,11.4,11.2,12.68,11.94,12.46
2600,9.28,11.97,9.41,10.55,10.72,-0.45,13.97,9.59,11.55,10.9,-0.84,13.12,11.25,11.5,10.95,12.79,11.63,12.38
2700,9.31,11.62,9.18,10.79,10.68,-0.37,13.96,9.54,11.61,10.53,-0.35,11.26,11.63,11.4,10.86,12.76,11.33,12.16
2800,8.95,11.27,8.97,11.23,10.47,-0.45,13.94,9.66,11.67,10.55,-0.43,11.38,11.4,11.31,10.76,12.74,11.86,11.93
2900,9.51,10.92,8.75,11.68,10.38,-0.53,13.92,9.02,11.73,10.57,-0.5,10.92,11.17,11.42,11.14,12.71,11.99,12.04
3000,9.26,10.58,9.18,11.64,10.43,-0.62,13.91,9.3,11.49,10.8,-1.08,10.97,11.77,11.53,11.36,12.69,12.12,12.16
3100,9.29,10.82,9.62,11.6,10.58,-0.71,13.9,9.43,11.25,10.8,-0.69,11.01,11.85,11.51,11.49,12.56,12.06,12.28
3200,9.76,11.06,9.5,11.65,10.66,-0.44,13.88,9.56,11.17,10.8,-0.3,11.71,12.08,11.48,11.63,12.44,12,12.26
