"higher_ends","t1","t2","t3","t4","t5","t6","t7","t8"
0,15.27,12.13,14.15,10.37,11.88,14.18,9.57,13.09
100,14.34,11.8,13.65,9.86,11.73,14.44,10.02,13.5
200,14.28,11.47,13.74,9.88,11.58,13.93,10.51,13.22
300,14,11.65,13.95,9.63,11.44,14.08,13.97,12.95
400,14.85,11.84,14.58,9.9,11.56,14.1,14.6,12.55
500,14.35,11.21,14.77,9.99,11.68,14.32,11.86,12.91
600,14.46,11.07,14.2,9.92,11.8,14.27,12.65,12.91
700,14.58,10.92,14.72,10.6,11.78,14.11,12.35,12.91
800,14.74,11.27,14.89,10.24,11.75,14.13,13.47,12.69
900,14.9,11.62,14.24,10.57,11.72,14.67,12.8,12.47
1000,15.62,11.78,14.21,10.38,11.69,14.5,14.69,12.59
1100,15.39,11.94,14.32,10.71,11.61,14.43,12.81,12.72
1200,15.16,11.74,14.42,10.66,11.53,14.7,15.17,12.71
1300,14.92,11.47,13.92,10.57,11.68,14.19,14.53,12.7
1400,15.32,11.2,14.39,10.43,11.82,14.74,14.59,12.71
1500,14.87,11.38,14.97,11.13,11.97,15.25,14.64,12.71
1600,16.21,11.56,14.22,11.27,11.87,14.61,14.62,12.9
1700,15.84,11.48,15,10.88,11.77,14.79,14.61,13.09
1800,15.46,11.4,14.97,10.63,11.7,14.33,14.43,13.09
1900,16.28,12.1,14.38,11.13,11.64,14.91,14.53,13.09
2000,15.81,12.03,14.46,10.92,11.55,14.98,15.32,12.8
2100,15.33,11.97,14.36,11.05,11.46,14.58,14.69,12.5
2200,15.5,12.01,14.41,10.53,12.13,14.44,15,12.21
2300,15.65,12.05,14.46,11.15,12.24,14,15.31,12.43
2400,15.38,11.6,14.53,11.31,12.46,14.24,13.39,12.66
2500,15.11,11.72,14.39,11.65,12.4,14.89,14.65,12.72
2600,15.02,11.84,13.95,11.66,11.94,14.75,14.63,12.78
2700,14.93,11.79,14.08,11.68,12.47,14.29,14.6,12.84
2800,15.17,11.73,14.36,11.4,12.31,13.81,15.35,12.81
2900,15.14,11.97,14.64,11.25,12.1,14.45,15,12.79
3000,15.11,12.2,14.46,11.1,12.03,15.08,14.65,12.77
3100,15.2,12.25,14.27,11.32,12.17,14.71,14.53,12.72
3200,15.3,12.3,14.19,11.53,11.89,15.44,14.59,12.67
3300,15.4,12.26,14.11,11.37,12.07,15.61,14.65,12.63
3400,15.53,12.22,14.03,11.21,12.18,14.91,15.01,12.59
3500,15.65,12.37,14.23,11.36,12.49,15.05,15.37,13.16
3600,15.38,12.52,14.43,11.4,12.73,15.2,15.63,13.2
3700,15.1,12.38,14.76,11.45,12.84,14.7,15.89,13.23
3800,15.26,12.25,15.1,11.48,12.96,14.87,16.01,13.05
3900,15.42,12.2,15.43,11.52,12.68,15.02,15.93,12.88
4000,15.59,12.15,15.07,11.54,12.56,15.17,15.85,12.95
4100,15.75,12.3,14.72,11.57,13.32,14.9,15.83,13.02
4200,15.92,12.45,15.05,11.3,12.96,14.88,15.81,12.83
4300,16.1,12.53,15.39,11.22,12.59,15.17,15.17,12.63
4400,15.7,12.62,15.72,11.14,12.33,15.45,14.53,12.55
4500,15.29,12.7,15.39,11.79,12.5,15.3,15.01,12.47
4600,15.59,12.69,15.05,12.44,12.66,15.38,15.49,12.89
4700,15.9,12.68,14.71,11.76,12.73,15.12,15.96,13.31
4800,15.86,12.63,14.82,11.09,12.8,14.86,15.55,13.24
4900,15.83,12.58,14.94,11.9,13.14,14.89,15.14,13.16
5000,15.63,12.54,15,11.76,13.22,15,15.55,13.09
5100,15.43,12.38,15.07,11.61,13.3,15.12,15.96,13.07
5200,15.47,12.23,15.13,11.2,13.17,15.37,15.84,13.06
5300,15.51,12.07,14.99,10.8,13.05,15.08,15.73,13.13
5400,15.55,12.16,14.84,11.45,13.04,14.79,15.53,13.2
5500,15.6,12.25,14.7,12.1,13.03,14.97,15.34,13.27
5600,15.66,12.34,14.53,12.14,12.64,15.08,15.14,13.34
