"higher_ends","t1","t2","t3","t4"
0,9.46,11.05,NA,11.1
100,9.88,11.91,NA,9.89
200,9.73,11.27,NA,10.1
300,10.05,10.95,NA,9.45
400,8.52,11.07,NA,8.8
500,8.94,11.51,NA,11.9
600,8.93,10.94,NA,9.9
700,9.56,11.14,NA,9.4
800,9.75,10.9,NA,8.9
900,9.94,10.65,NA,9.4
1000,9.62,10.39,NA,9.2
1100,9.3,10.55,NA,9.53
1200,8.97,11.13,NA,9.85
1300,9.33,11.09,NA,9.5
1400,9.69,11.24,NA,9.07
1500,9.61,10.76,NA,8.63
1600,9.52,10.56,NA,8.2
1700,9.44,10.84,NA,8.6
1800,9.56,10.87,NA,9
1900,9.69,10.9,NA,9.4
2000,9.8,11,NA,9.7
2100,9.91,11.79,NA,10
2200,8.94,11.3,NA,10.17
2300,7.96,11.21,NA,10.33
2400,8.23,11.11,NA,10.5
2500,8.5,11.05,NA,10.25
2600,8.87,10.93,NA,10
2700,9.25,11.95,NA,9.83
2800,10.2,11.33,NA,9.67
2900,9.84,11.45,NA,9.5
3000,9.47,11.11,NA,9.9
3100,8.24,11.93,NA,10.3
3200,8.76,11.22,NA,10.1
3300,9.28,11.28,NA,9.9
3400,9.25,11.16,NA,9.7
3500,9.51,11.14,NA,9.5
3600,9.76,11.34,NA,9.4
3700,9.41,11.87,NA,9.3
3800,9.07,11.03,NA,9.6
3900,9.13,11.53,NA,9.9
4000,9.47,12.1,NA,10.2
4100,9.81,12.48,NA,11.4
4200,10.53,11.87,NA,12.6
4300,10.74,12.14,NA,12.27
4400,10.96,11.69,NA,11.93
4500,10.96,11.97,NA,11.6
4600,10.96,11.51,NA,12.35
4700,10.59,12.27,NA,13.1
4800,10.22,12.14,NA,12.73
4900,9.67,12.02,NA,12.37
5000,9.12,11.92,NA,12
5100,9.31,11.62,NA,11.57
5200,9.49,11.98,NA,11.13
5300,9.37,12.34,NA,10.7
5400,9.24,12.23,NA,11.75
5500,9.53,12.37,NA,12.8
5600,9.81,12.27,NA,12.63
5700,10.1,12.17,NA,12.47
5800,10.07,12.52,NA,12.3
5900,10.03,12.53,NA,12.35
6000,10.19,12.54,NA,12.4
6100,10.36,12.55,NA,12.3
6200,10.69,12.56,10.54,12.6
6300,11.02,12.35,9.41,12.9
6400,11.35,12.51,9.36,12.1
6500,10.78,12.68,10.48,12.2
6600,10.22,12.69,10.59,11.7
6700,10.03,12.7,10.25,11.2
6800,9.97,12.82,11.03,12.2
6900,9.2,12.79,10.13,12.8
7000,8.91,12.76,10.57,13.2
7100,9.35,12.67,10.7,12.7
7200,10.04,12.57,9.71,12.2
7300,10.74,12.73,10.47,13.1
7400,9.51,12.88,10.19,12.7
7500,9.53,13.17,11.21,12.75
7600,9.58,13.46,11.34,12.8
7700,9.64,13.2,11.2,12.4
7800,10.19,12.93,10.59,12.3
7900,9.89,12.88,11.13,12.2
8000,9.59,12.84,9.68,12.35
8100,9.86,12.82,9.84,12.5
8200,9.82,12.8,9.77,12.6
8300,9.79,13.08,11.01,11.4
8400,9.75,13.36,10.01,12
8500,9.35,13.3,10.76,10.5
8600,8.87,13.25,10.31,12.2
8700,9.11,13.05,9.92,NA
8800,9.03,12.84,10.1,NA
8900,8.94,12.64,10.96,NA
9000,8.86,12.43,10.48,NA
9100,9.27,NA,10.47,NA
9200,9.41,NA,10.15,NA
9300,9.56,NA,10.16,NA
9400,10.05,NA,11.72,NA
9500,10.54,NA,11.4,NA
9600,10.85,NA,10.55,NA
9700,9.94,NA,10.6,NA
9800,10.05,NA,9.17,NA
9900,10.16,NA,8.69,NA
10000,10.2,NA,9.85,NA
