"higher_ends","t1","t2","t3","t4","t5","t6"
0,NA,NA,5.74,4.4,NA,6.35
100,8.09,NA,5.94,4.15,NA,6.97
200,9.15,NA,6.15,4.61,4.66,7.59
300,7.86,4.65,5.97,4.95,4.6,8.21
400,7.15,4.65,5.78,4.43,4.54,8.03
500,7.26,4.65,5.6,4.66,4.54,7.85
600,8.07,4.74,5.6,4.9,4.54,7.67
700,8.02,4.84,5.6,5.13,4.54,7.49
800,7.08,4.6,5.57,5.37,4.61,7.31
900,7.83,4.36,5.54,5.6,4.67,7.01
1000,7.86,4.51,6.08,5.56,4.73,6.71
1100,8.24,4.52,6.62,5.52,4.8,6.41
1200,9.19,4.54,6.45,5.84,4.64,6.11
1300,8.72,4.55,6.27,6.16,4.48,6.32
1400,9.17,4.57,6.48,5.68,4.32,6.53
1500,8.05,4.34,6.68,5.68,4.16,7.37
1600,8.87,4.11,6.46,5.67,4.36,7.4
1700,9.19,4.13,6.24,6.92,4.56,7.43
1800,10.83,4.14,6.58,6.15,4.76,7.26
1900,10.72,4.22,6.93,6.2,4.97,7.09
2000,10.13,4.3,7.31,6.24,5.33,7.44
2100,9.54,4.42,7.69,6.72,5.7,7.32
2200,8.81,4.54,7.35,5.96,6.06,7.2
2300,8.09,4.67,7.02,6.33,6.43,8.58
2400,8.17,4.95,7.21,6.7,5.95,8.29
2500,8.26,5.23,7.4,6.77,5.48,8.01
2600,8.7,5.42,7.39,6.16,5.01,6.78
2700,9.15,5.6,7.37,7.08,5.34,7.56
2800,9.59,5.11,7.72,6.03,5.67,7.91
2900,9.34,4.62,7.55,7.06,6,8.26
3000,9.1,5.04,7.38,7.1,6.32,8.23
3100,8.89,5.46,7.43,6.82,6.33,8.21
3200,8.69,5.33,7.48,6.32,6.34,8.18
3300,7.61,5.21,7.25,6.45,6.27,8.17
3400,8.85,4.61,7.02,7.56,6.2,8.16
3500,8.59,4.92,7.04,6.63,6.13,8.15
3600,7.88,5.22,7.06,6.49,6.06,8.14
3700,8.89,5.22,6.76,7.57,5.99,8.12
3800,9.58,5.22,7.32,6.28,6.08,8.09
3900,8.85,5.22,7.89,6.51,6.17,8.07
4000,8.8,5.22,7.82,7.18,6.25,7.91
4100,8.75,5.22,7.73,7.05,6.34,7.75
4200,8.32,5.04,7.65,6.82,6.4,7.59
4300,7.95,5.42,7.88,8.09,6.45,7.43
4400,7.88,5.51,7.77,7.37,6.51,8.04
4500,7.95,5.6,7.66,7.57,6.56,8.64
4600,10.21,5.6,8.41,7.58,6.61,9.04
4700,8.43,5.61,8.24,7.43,6.72,9.44
4800,10.21,5.6,8.48,7.55,6.82,9.25
4900,8.33,5.6,8.12,7.28,6.93,9.07
5000,8.33,5.04,7.8,7.43,7.03,8.89
5100,8.39,5.04,8.04,7.89,8.03,8.76
5200,7.92,5.32,7.52,7.88,9.04,8.64
5300,9.7,5.04,7.65,6.73,10.04,8.97
5400,7.92,4.83,7.82,7.09,9.65,9.31
5500,8.48,5.6,7.18,8.05,9.25,9.14
5600,8.32,5.04,7.02,7.67,8.86,8.96
5700,8.43,5.13,7.2,7.23,8.46,9.24
5800,8.56,5.63,7.25,8.4,8.07,9.53
5900,7.95,5.04,7.6,7.06,7.78,9.39
6000,8.85,5.12,8.23,7.74,7.5,9.25
6100,7.95,5.45,8.1,7.57,7.22,9.12
6200,7.92,5.57,8.27,7.39,6.93,9.38
6300,8.36,5.36,8.24,7.19,7.22,9.64
6400,8.15,5.69,8.03,7.45,7.5,9.72
6500,7.95,5.17,7.7,7.5,7.78,9.8
6600,7.67,5.75,8.59,7.73,8.06,9.83
6700,7.92,5.36,8.55,7.97,7.72,9.86
6800,8.21,5.56,8.62,7.33,7.37,9.81
6900,8.08,5.94,8.57,7.04,7.03,9.76
7000,7.95,5.77,8.74,7.06,6.69,9.71
7100,7.99,5.88,8.81,7.08,6.34,10.04
7200,7.95,5.66,8.58,6.22,6.34,10.37
7300,7.05,6.34,8.71,6.7,6.33,9.55
7400,7.69,6.17,8.65,7.19,6.33,9.46
7500,7.56,5.94,9.4,6.9,6.32,9.37
7600,8.45,6.34,8.95,6.79,6.33,9.27
7700,7.19,6.17,8.64,6.69,6.33,9.98
7800,8.66,5.72,7.95,6.76,6.34,9.15
7900,6.79,6.34,8.39,6.83,6.34,9.02
8000,6.8,6.13,8.38,6.61,6.2,7.82
8100,7.96,5.91,7.79,6.39,6.05,7.86
8200,6.62,4.97,7.78,6.4,5.91,8.38
8300,6.75,4.82,6.48,6.09,5.77,8.32
8400,7.31,3.74,5.64,5.78,5.82,8.27
8500,6.51,5.1,7.01,5.84,5.86,8.51
8600,6.41,4.78,6.96,5.89,5.91,9.16
8700,7.63,4.46,7.04,6.32,5.23,8.19
8800,6.08,4.04,7.07,6.75,4.55,7.47
8900,4.41,4.63,7.05,6.12,3.86,8.07
9000,0.04,4.25,6.74,5.5,3.7,NA
9100,0.64,4.63,NA,NA,3.53,NA
9200,NA,4.63,NA,NA,3.37,NA
9300,NA,2.82,NA,NA,3.49,NA
9400,NA,4.07,NA,NA,3.62,NA
9500,NA,3.12,NA,NA,3.75,NA
9600,NA,3.27,NA,NA,3.5,NA
9700,NA,1.69,NA,NA,3.26,NA
9800,NA,2.09,NA,NA,2.87,NA
9900,NA,2.69,NA,NA,2.48,NA
10000,NA,3.3,NA,NA,2.08,NA
