"higher_ends","t1","t2","t3","t4","t5","t6","t7"
0,16.82,NA,NA,-9.69,NA,-10.08,14.7
100,16.13,NA,4.08,-9.38,3.93,-10.54,14.48
200,15.44,-7.88,3.92,-9.06,3.78,-11.62,14.26
300,14.76,-10.26,4.11,-9.11,3.41,-12.49,14.04
400,13.97,-9.32,5.26,-7.85,3.41,-11.28,13.82
500,13.19,-10.63,4.06,-9.55,2.88,-10.06,13.61
600,12.41,-10.94,4.36,-11.37,4.11,-10.9,13.39
700,13.33,-10.65,4.14,-9.45,2.77,-11.73,13.17
800,14.26,-11.1,3.47,-9.61,2.96,-12.57,13.23
900,15.18,-12.29,3.41,-9.99,3.49,-12.29,13.3
1000,15.3,-10.7,3.47,-10.38,2.7,-12.02,13.36
1100,15.42,-11.92,3.84,-8.78,2.46,-11.8,13.43
1200,15.53,-10.57,6.3,-10.91,3.52,-11.58,13.49
1300,15.65,-9.55,3.43,-10.29,3.48,-11.36,13.56
1400,15.77,-8.7,4.14,-7.56,3.63,-13.72,13.66
1500,15.55,-9.59,2.49,-14.02,4,-16.07,13.75
1600,15.33,-8.31,3.43,-10.36,3.63,-14.37,13.85
1700,15.12,-9.05,3.4,-12.79,3.98,-12.66,13.95
1800,14.9,-9.33,4.94,-11.6,3.22,-10.96,14.05
1900,14.69,-8.39,3.84,-10.41,3.49,-9.75,14.14
2000,14.47,-7.59,3.91,-11.99,3.78,-8.55,14.03
2100,14.25,-8.03,4.56,-9.65,3.86,-9.49,13.92
2200,14.03,-7.38,5.28,-10.27,3.74,-10.42,13.8
2300,14.23,-10.46,5.24,-9.97,3.78,-11.36,13.69
2400,14.43,-7.93,4.36,-9.41,3.33,-10.78,13.57
2500,14.63,-10.76,4.86,-9.91,4.29,-10.19,13.46
2600,14.64,-8.97,4.49,-11.35,3.97,-10.29,13.45
2700,14.66,-7.19,5.17,-8.64,3.84,-10.39,13.44
2800,14.67,-8.96,4.68,-8.93,4.48,-10.49,13.43
2900,14.69,-6.49,5.12,-10.09,4.48,-10.31,13.42
3000,14.7,-9.03,4.63,-8.23,4.14,-10.13,13.39
3100,15.03,-5.4,5.88,-10.81,3.84,-10.27,13.36
3200,15.37,-6.57,4.8,-7.32,4.22,-10.4,13.33
3300,15.7,-7.7,4.93,-7.86,4.74,-10.54,13.3
3400,15.88,-8.83,4.87,-7.94,4.62,-10.14,13.27
3500,16.07,-9.45,4.42,-8.34,4.86,-9.74,13.49
3600,16.12,-10.27,4.2,-9.12,4.3,-9.39,13.71
3700,16.18,-10.26,5.24,-7.49,4.86,-9.05,13.92
3800,16.24,-9.33,4.95,-7.2,4.48,-8.71,14.14
3900,16.3,-8.4,4.95,-8.1,5.11,-7.98,14.11
4000,16.36,-9.25,5.73,-6.46,5.18,-7.26,14.07
4100,15.81,-7.26,4.75,-6.59,4.8,-7.33,14.04
4200,15.27,-8.37,4.55,-7.44,5.46,-7.41,14.01
4300,15.47,-9.48,4.57,-9,5.29,-7.48,13.97
4400,15.66,-6.98,5.25,-6.6,5.64,-7.86,14.05
4500,15.86,-7,5.04,-7.1,5.04,-8.25,14.12
4600,16.06,-7.19,6.34,-7.99,5.52,-8.17,14.19
4700,16.25,-7.38,5.08,-6.5,5.3,-8.1,14.27
4800,16.39,-9.39,6.09,-7.09,5.06,-8.03,14.12
4900,16.52,-9.53,5.4,-6.22,5.81,-7.4,13.98
5000,16.65,-9.67,5.36,-4.93,5.9,-6.78,13.84
5100,16.79,NA,5.19,-6.36,5.14,-6.15,13.69
5200,16.92,NA,5.7,-6.05,5.74,-6.43,13.55
5300,17.05,NA,5.31,-7.17,5.48,-6.71,13.85
5400,17.19,NA,4.94,-6.7,5.25,-7.28,14.15
5500,17.18,NA,6.1,-6.92,5.26,-7.85,14.45
5600,17.18,NA,4.76,-5.87,6.27,-8.42,14.74
5700,17.14,NA,5.54,-6.82,6.08,-8.05,14.72
5800,17.11,NA,3.83,-4.67,5.69,-7.67,14.7
5900,17.08,NA,6.15,-6.53,5.17,-7.76,14.67
6000,17.03,NA,6.81,-5.73,5.41,-7.84,14.65
6100,16.99,NA,5.45,-7.42,5.23,-7.96,14.63
6200,16.97,NA,4.9,-4.58,4.85,-8.08,14.56
6300,16.96,NA,5.97,-4.61,5.27,-7.87,14.49
6400,16.94,NA,6.02,-4.58,5,-7.65,14.43
6500,16.93,NA,6.13,-5.99,4.97,-7.26,14.17
6600,16.91,NA,6,-4.44,5.3,-6.87,13.91
6700,16.89,NA,5.76,-3.46,4.79,-6.8,13.65
6800,16.87,NA,4.63,-3.61,4.81,-6.73,13.78
6900,16.85,NA,4.75,-4.63,4.72,-6.89,13.92
7000,16.79,NA,5.15,-4.61,5.74,-7.06,14.06
7100,16.73,NA,6.05,-5.35,5.26,-7.18,14.41
7200,16.43,NA,5.06,-5.34,5.63,-7.3,14.76
7300,16.14,NA,5.23,-6.93,5.3,-8.25,15.11
7400,15.85,NA,5.75,-6.63,4.97,-9.2,15.13
7500,15.56,NA,5.93,-4.97,5.03,-7.32,15.16
7600,15.66,NA,5.9,-5.9,5.31,-5.43,15.08
7700,15.09,NA,5.99,-4.78,4.44,-7.47,15
7800,14.51,NA,3.52,-5.1,4.66,-9.5,14.93
7900,14.92,NA,5.93,-5.89,4.58,-8.33,14.58
8000,15.33,NA,4.77,-5.52,4.59,-7.16,14.22
8100,15.24,NA,5.14,-6.34,4.7,-7.08,13.87
8200,15.16,NA,4.83,-7.92,4.64,-7.01,13.72
8300,15.12,NA,3.08,-7.4,4.77,-6.52,13.57
8400,15.08,NA,4.23,-5.32,4.62,-6.04,13.42
8500,15.14,NA,4.42,-7.78,4.38,-7.37,13.42
8600,15.11,NA,2.86,-5.9,4.46,-8.7,13.41
8700,15.09,NA,4.64,-7.22,4.64,-8.65,13.4
8800,15.02,NA,3.93,-7.62,4.78,-8.61,13.4
8900,14.95,NA,4.04,-8.28,4.02,-9.48,13.39
9000,15.6,NA,3.42,-7.55,4.09,-10.35,13.38
9100,16.24,NA,NA,-8.77,NA,-9.48,14.1
9200,16.47,NA,NA,-8.46,NA,-9.08,14.81
9300,16.41,NA,NA,-8.35,NA,-8.68,14.9
9400,16.35,NA,NA,-7.89,NA,-8.13,14.99
9500,16.28,NA,NA,-8.84,NA,-7.58,15.08
9600,15.96,NA,NA,-8.35,NA,NA,14.19
9700,15.63,NA,NA,-8.96,NA,NA,13.3
9800,15.55,NA,NA,-9.3,NA,NA,12.41
9900,15.48,NA,NA,-10.33,NA,NA,12.65
10000,15.4,NA,NA,-9.57,NA,NA,12.89
10100,15.32,NA,NA,-10.45,NA,NA,13.13
10200,15.75,NA,NA,-11.05,NA,NA,NA
10300,14.65,NA,NA,-11.21,NA,NA,NA
10500,13.29,NA,NA,-12.68,NA,NA,NA
10800,13.61,NA,NA,-14.96,NA,NA,NA
