"dataset_ID","meantimes","Abies","Arctostaphylos","Arctostaphylos.uva.ursi","Huperzia","Huperzia.selago","Linnaea.borealis","Lycopodium","Lycopodium.annotinum","Melampyrum","Picea","Picea.abies","Pinus","Pinus.sylvestris","Taxus","Taxus.baccata","Vaccinium"
"12",0.057,NA,NA,NA,NA,NA,NA,"0",NA,NA,"15",NA,"123",NA,NA,NA,NA
"12",81.062,NA,NA,NA,NA,NA,NA,"4",NA,NA,"17",NA,"145",NA,NA,NA,NA
"12",134.144,NA,NA,NA,NA,NA,NA,"3",NA,NA,"10",NA,"76",NA,NA,NA,NA
"12",182.846,NA,NA,NA,NA,NA,NA,"0",NA,NA,"2",NA,"78",NA,NA,NA,NA
"12",230.552,NA,NA,NA,NA,NA,NA,"0",NA,NA,"8",NA,"133",NA,NA,NA,NA
"12",278.26,NA,NA,NA,NA,NA,NA,"0",NA,NA,"14",NA,"136",NA,NA,NA,NA
"12",329.74,NA,NA,NA,NA,NA,NA,"0",NA,NA,"4",NA,"139",NA,NA,NA,NA
"12",403.225,NA,NA,NA,NA,NA,NA,"2",NA,NA,"1",NA,"91",NA,NA,NA,NA
"12",491.984,NA,NA,NA,NA,NA,NA,"0",NA,NA,"1",NA,"118",NA,NA,NA,NA
"12",545.411,NA,NA,NA,NA,NA,NA,"0",NA,NA,"5",NA,"73",NA,NA,NA,NA
"12",592.246,NA,NA,NA,NA,NA,NA,"0",NA,NA,"4",NA,"99",NA,NA,NA,NA
"12",635.58,NA,NA,NA,NA,NA,NA,"0",NA,NA,"7",NA,"50",NA,NA,NA,NA
"12",677.413,NA,NA,NA,NA,NA,NA,"0",NA,NA,"4",NA,"23",NA,NA,NA,NA
"12",721.046,NA,NA,NA,NA,NA,NA,"0",NA,NA,"4",NA,"134",NA,NA,NA,NA
"12",764.055,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,"124",NA,NA,NA,NA
"12",808.538,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"94",NA,NA,NA,NA
"12",854.298,NA,NA,NA,NA,NA,NA,"0",NA,NA,"1",NA,"77",NA,NA,NA,NA
"12",911.985,NA,NA,NA,NA,NA,NA,"2",NA,NA,"0",NA,"53",NA,NA,NA,NA
"12",1006.149,NA,NA,NA,NA,NA,NA,"2",NA,NA,"5",NA,"52",NA,NA,NA,NA
"12",1099.197,NA,NA,NA,NA,NA,NA,"0",NA,NA,"9",NA,"92",NA,NA,NA,NA
"12",1179.283,NA,NA,NA,NA,NA,NA,"0",NA,NA,"2",NA,"37",NA,NA,NA,NA
"12",1231.444,NA,NA,NA,NA,NA,NA,"1",NA,NA,"0",NA,"46",NA,NA,NA,NA
"12",1277.602,NA,NA,NA,NA,NA,NA,"0",NA,NA,"1",NA,"49",NA,NA,NA,NA
"12",1326.128,NA,NA,NA,NA,NA,NA,"0",NA,NA,"2",NA,"40",NA,NA,NA,NA
"12",1407.271,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,"62",NA,NA,NA,NA
"12",1549.599,NA,NA,NA,NA,NA,NA,"0",NA,NA,"1",NA,"49",NA,NA,NA,NA
"12",1616.689,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,"92",NA,NA,NA,NA
"12",1659.009,NA,NA,NA,NA,NA,NA,"0",NA,NA,"1",NA,"83",NA,NA,NA,NA
"12",1697.687,NA,NA,NA,NA,NA,NA,"0",NA,NA,"4",NA,"111",NA,NA,NA,NA
