taxon.name,ecological.group,,
Botryococcus,ALGA,,
Pediastrum,ALGA,,
Tetraedron minimum,ALGA,,
Sphagnum,AQBR,,
Alisma,AQVP,,
Alisma plantago aquatica,AQVP,,
Alismataceae,AQVP,,
Callitriche,AQVP,,
Caltha,AQVP,,
Caltha palustris,AQVP,,
Ceratophyllum,AQVP,,
Cladium mariscus,AQVP,,
Drosera,AQVP,,
Drosera anglica,AQVP,,
Drosera intermedia,AQVP,,
Drosera rotundifolia,AQVP,,
Drosera rotundifolia D. anglica,AQVP,,
Elatine,AQVP,,
Eriophorum,AQVP,,
Hippuris,AQVP,,
Hippuris vulgaris,AQVP,,
Hottonia palustris,AQVP,,
Hydrocharis,AQVP,,
Hydrocotyle vulgaris,AQVP,,
Isoetes ,AQVP,,
Isoetes echinospora,AQVP,,
Isoetes lacustris,AQVP,,
Isoetes setacea,AQVP,,
Lemna,AQVP,,
Lentibulariaceae,AQVP,,
Menyanthes trifoliata,AQVP,,
Myriophyllum,AQVP,,
Myriophyllum alterniflorum,AQVP,,
Myriophyllum spicatum,AQVP,,
Myriophyllum spicatum M. verticillatum,AQVP,,
Myriophyllum verticillatum,AQVP,,
Nuphar,AQVP,,
Nuphar pumila,AQVP,,
Nymphaea,AQVP,,
Nymphaea alba,AQVP,,
Nymphaeaceae,AQVP,,
Phragmites,AQVP,,
Potamogeton,AQVP,,
Ranunculus trichophyllus,AQVP,,
Rhynchospora,AQVP,,
Rhynchospora alba,AQVP,,
Sagittaria,AQVP,,
Scheuchzeria,AQVP,,
Scheuchzeria palustris,AQVP,,
Schoenoplectus lacustris,AQVP,,
Schoenus,AQVP,,
Sparganium,AQVP,,
Sparganium emersum,AQVP,,
Sparganium erectum,AQVP,,
Stuckenia,AQVP,,
Trapa,AQVP,,
Typha,AQVP,,
Typha angustifolia,AQVP,,
Typha angustifolia Sparganium,AQVP,,
Typha latifolia,AQVP,,
Typhaceae,AQVP,,
Utricularia,AQVP,,
Viola palustris,AQVP,,
dataset_ID,dataset_ID,,
Lingulodinium machaerophorum,DINO,,
Operculodinium centrocarpum,DINO,,
Spiniferites,DINO,,
Tilletia,FUNG,,
meantimes,meantimes,,
Abies ,TRSH,,
Acer,TRSH,,
Alnus,TRSH,,
Alnus glutinosa,TRSH,,
Alnus incana,TRSH,,
Alnus viridis,TRSH,,
Arctostaphylos,TRSH,,
Arctostaphylos uva ursi,TRSH,,
Arctous alpina,TRSH,,
Betula,TRSH,,
Betula Corylus Myrica,TRSH,,
Betula fruticosa,TRSH,,
Betula humilis,TRSH,,
Betula nana,TRSH,,
Betula pendula,TRSH,,
Betula pubescens,TRSH,,
Calluna,TRSH,,
Calluna vulgaris,TRSH,,
Caprifoliaceae,TRSH,,
Carpinus,TRSH,,
Carpinus betulus,TRSH,,
Carya,TRSH,,
Cassiope,TRSH,,
Cornus,TRSH,,
Cornus mas C. suecica,TRSH,,
Cornus sanguinea,TRSH,,
Cornus suecica,TRSH,,
Corylus,TRSH,,
Corylus avellana,TRSH,,
Corylus Myrica,TRSH,,
Empetrum,TRSH,,
Empetrum nigrum,TRSH,,
Ephedra,TRSH,,
Ephedra distachya,TRSH,,
Ephedra fragilis,TRSH,,
Erica arborea,TRSH,,
Erica cinerea E. tetralix,TRSH,,
Ericaceae ,TRSH,,
Ericales ,TRSH,,
Fagus,TRSH,,
Fagus sylvatica,TRSH,,
Frangula,TRSH,,
Frangula alnus,TRSH,,
Fraxinus,TRSH,,
Fraxinus excelsior,TRSH,,
Hedera,TRSH,,
Hedera helix,TRSH,,
Hippophae,TRSH,,
Hippophae rhamnoides,TRSH,,
Ilex,TRSH,,
Juglans,TRSH,,
Juglans regia,TRSH,,
Juniperus,TRSH,,
Juniperus communis,TRSH,,
Lonicera,TRSH,,
Lonicera periclymenum,TRSH,,
Lonicera xylosteum,TRSH,,
Myrica,TRSH,,
Myrica gale,TRSH,,
Myricaria,TRSH,,
Myricaria germanica,TRSH,,
Picea,TRSH,,
Picea abies,TRSH,,
Pinus,TRSH,,
Pinus sylvestris,TRSH,,
Populus,TRSH,,
Populus tremula,TRSH,,
Prunus,TRSH,,
Prunus padus,TRSH,,
Quercus,TRSH,,
Rhamnus,TRSH,,
Rhamnus cathartica,TRSH,,
Rhododendron tomentosum,TRSH,,
Ribes,TRSH,,
Rosa,TRSH,,
Rubiaceae,TRSH,,
Rubus,TRSH,,
Rubus chamaemorus,TRSH,,
Rubus fruticosus,TRSH,,
Rubus idaeus,TRSH,,
Rubus saxatilis,TRSH,,
Salix ,TRSH,,
Salix herbacea,TRSH,,
Sambucus,TRSH,,
Sambucus nigra S. racemosa,TRSH,,
Sorbus,TRSH,,
Sorbus aria,TRSH,,
Sorbus aucuparia,TRSH,,
Taxus,TRSH,,
Taxus baccata,TRSH,,
Tilia,TRSH,,
Tilia cordata,TRSH,,
Ulmus,TRSH,,
Ulmus glabra,TRSH,,
Vaccinium,TRSH,,
Viburnum,TRSH,,
Viburnum opulus,TRSH,,
Viscum,TRSH,,
Viscum album,TRSH,,
Larix,UNID,,
Varia,UNID,,
Bryales,UPBR,,
Achillea,UPHE,,
Aconitum,UPHE,,
Aconitum lycoctonum,UPHE,,
Adoxa moschatellina,UPHE,,
Alchemilla,UPHE,,
Allium,UPHE,,
Amaranthaceae,UPHE,,
Anagallis arvensis,UPHE,,
Anagallis tenella,UPHE,,
Anemone,UPHE,,
Anemone nemorosa,UPHE,,
Angelica,UPHE,,
Anthemis,UPHE,,
Apiaceae ,UPHE,,
Arctium,UPHE,,
Arenaria,UPHE,,
Armeria,UPHE,,
Armeria Limonium,UPHE,,
Artemisia ,UPHE,,
Artemisia norvegica,UPHE,,
Aster,UPHE,,
Asteraceae,UPHE,,
Asteroideae,UPHE,,
Astragalus alpinus,UPHE,,
Astragalus frigidus,UPHE,,
Astragalus glycyphyllos,UPHE,,
Astragalus Oxytropis,UPHE,,
Avena Triticum,UPHE,,
Bassia laniflora,UPHE,,
Bistorta,UPHE,,
Bistorta officinalis,UPHE,,
Bistorta officinalis B. vivipara,UPHE,,
Bistorta vivipara,UPHE,,
Boraginaceae,UPHE,,
Brassica,UPHE,,
Brassicaceae,UPHE,,
Calystegia,UPHE,,
Campanula,UPHE,,
Campanulaceae,UPHE,,
Cannabaceae,UPHE,,
Cannabis,UPHE,,
Cannabis sativa,UPHE,,
Capsella,UPHE,,
Carex,UPHE,,
Caryophyllaceae,UPHE,,
Centaurea cyanus,UPHE,,
Centaurea jacea,UPHE,,
Centaurea nigra,UPHE,,
Centaurea scabiosa,UPHE,,
Cerastium,UPHE,,
Cerastium cerastoides,UPHE,,
Cerastium fontanum,UPHE,,
Cerealia,UPHE,,
Chamaenerion,UPHE,,
Chrysosplenium,UPHE,,
Cichorieae,UPHE,,
Cichorioideae,UPHE,,
Cirsium,UPHE,,
Cirsium Carduus,UPHE,,
Convallaria,UPHE,,
Convallaria majalis,UPHE,,
Cyperaceae,UPHE,,
Dianthus,UPHE,,
Diapensia,UPHE,,
Diapensia lapponica,UPHE,,
Dipsacoideae,UPHE,,
Droseraceae,UPHE,,
Dryas octopetala,UPHE,,
Echium,UPHE,,
Echium vulgare,UPHE,,
Epilobium,UPHE,,
Euphrasia,UPHE,,
Fabaceae,UPHE,,
Fagopyrum,UPHE,,
Fagopyrum esculentum,UPHE,,
Filipendula,UPHE,,
Galeopsis,UPHE,,
Galium,UPHE,,
Gentiana,UPHE,,
Gentiana campestris,UPHE,,
Gentiana nivalis,UPHE,,
Gentiana pneumonanthe,UPHE,,
Gentiana purpurea,UPHE,,
Gentianaceae,UPHE,,
Gentianella campestris,UPHE,,
Gentianella detonsa,UPHE,,
Geraniaceae,UPHE,,
Geranium,UPHE,,
Geranium sylvaticum,UPHE,,
Geum,UPHE,,
Geum rivale,UPHE,,
Glaucium,UPHE,,
Glyceria,UPHE,,
Gnaphalium,UPHE,,
Helianthemum,UPHE,,
Heracleum,UPHE,,
Hordeum,UPHE,,
Humulus,UPHE,,
Humulus Cannabis,UPHE,,
Humulus lupulus,UPHE,,
Hypericum,UPHE,,
Hypericum calycinum,UPHE,,
Hypericum perforatum,UPHE,,
Hypericum pulchrum,UPHE,,
Iris,UPHE,,
Jasione,UPHE,,
Jasione montana,UPHE,,
Juncaceae,UPHE,,
Knautia arvensis,UPHE,,
Krascheninnikovia ceratoides,UPHE,,
Lamiaceae,UPHE,,
Lathyrus,UPHE,,
Liliaceae ,UPHE,,
Limosella aquatica,UPHE,,
Linnaea borealis,UPHE,,
Linum usitatissimum,UPHE,,
Listera,UPHE,,
Lobelia dortmanna,UPHE,,
Lotus,UPHE,,
Lotus corniculatus,UPHE,,
Lotus pedunculatus,UPHE,,
Lycopsis arvensis,UPHE,,
Lysimachia,UPHE,,
Lysimachia vulgaris,UPHE,,
Lythrum,UPHE,,
Lythrum salicaria,UPHE,,
Maianthemum,UPHE,,
Malvaceae,UPHE,,
Melampyrum,UPHE,,
Mentha,UPHE,,
Mercurialis,UPHE,,
Mercurialis perennis,UPHE,,
Micranthes nivalis,UPHE,,
Micranthes nivalis M. tenuis,UPHE,,
Micranthes stellaris,UPHE,,
Monotropa,UPHE,,
Narthecium ossifragum,UPHE,,
Onagraceae,UPHE,,
Onobrychis,UPHE,,
Orchidaceae,UPHE,,
Oxalis,UPHE,,
Oxyria,UPHE,,
Oxyria digyna,UPHE,,
Oxytropis,UPHE,,
Papaver radicatum,UPHE,,
Papaver rhoeas,UPHE,,
Parnassia,UPHE,,
Parnassia palustris,UPHE,,
Pedicularis,UPHE,,
Pedicularis palustris,UPHE,,
Persicaria amphibia,UPHE,,
Persicaria maculosa,UPHE,,
Peucedanum,UPHE,,
Pimpinella,UPHE,,
Pimpinella saxifraga,UPHE,,
Pinguicula,UPHE,,
Plantago,UPHE,,
Plantago coronopus,UPHE,,
Plantago lanceolata,UPHE,,
Plantago major,UPHE,,
Plantago major P. media,UPHE,,
Plantago maritima,UPHE,,
Plantago media,UPHE,,
Plantago uniflora,UPHE,,
Poaceae ,UPHE,,
Polygala,UPHE,,
Polygonaceae,UPHE,,
Polygonatum,UPHE,,
Polygonatum verticillatum,UPHE,,
Polygonum aviculare,UPHE,,
Portulaca,UPHE,,
Potentilla,UPHE,,
Potentilla recta,UPHE,,
Primula,UPHE,,
Primula farinosa,UPHE,,
Primulaceae,UPHE,,
Ranunculaceae ,UPHE,,
Ranunculus ,UPHE,,
Ranunculus acris,UPHE,,
Ranunculus glacialis,UPHE,,
Rhinanthus,UPHE,,
Rosaceae ,UPHE,,
Rumex,UPHE,,
Rumex acetosa,UPHE,,
Rumex acetosa R. acetosella,UPHE,,
Rumex acetosella,UPHE,,
Rumex longifolius,UPHE,,
Rumex Oxyria,UPHE,,
Rumex Oxyria digyna,UPHE,,
Sagina,UPHE,,
Salsola kali,UPHE,,
Sanguisorba,UPHE,,
Sanguisorba officinalis,UPHE,,
Sanicula,UPHE,,
Saussurea,UPHE,,
Saussurea nuda,UPHE,,
Saxifraga,UPHE,,
Saxifraga cernua,UPHE,,
Saxifraga cernua S. rivularis,UPHE,,
Saxifraga cespitosa,UPHE,,
Saxifraga granulata,UPHE,,
Saxifraga hirculus,UPHE,,
Saxifraga oppositifolia,UPHE,,
Saxifraga stellaris,UPHE,,
Saxifragaceae,UPHE,,
Scilla,UPHE,,
Scleranthus annuus,UPHE,,
Scrophularia,UPHE,,
Scrophulariaceae ,UPHE,,
Scutellaria,UPHE,,
Secale,UPHE,,
Secale cereale,UPHE,,
Sedum,UPHE,,
Sedum acre,UPHE,,
Serratula,UPHE,,
Sibbaldia,UPHE,,
Silene,UPHE,,
Silene acaulis,UPHE,,
Silene dioica,UPHE,,
Silene flos cuculi,UPHE,,
Silene viscaria,UPHE,,
Silene vulgaris,UPHE,,
Sinapis,UPHE,,
Solanum dulcamara,UPHE,,
Solidago,UPHE,,
Spergula,UPHE,,
Spergula arvensis,UPHE,,
Spergula Spergularia,UPHE,,
Spergularia,UPHE,,
Stachys,UPHE,,
Stachys sylvatica,UPHE,,
Stellaria,UPHE,,
Succisa,UPHE,,
Succisa pratensis,UPHE,,
Taraxacum,UPHE,,
Teucrium,UPHE,,
Thalictrum,UPHE,,
Tofieldia,UPHE,,
Tofieldia pusilla,UPHE,,
Trientalis europaea,UPHE,,
Trifolium,UPHE,,
Trifolium pratense,UPHE,,
Trifolium repens,UPHE,,
Triticum,UPHE,,
Trollius,UPHE,,
Trollius europaeus,UPHE,,
Urtica,UPHE,,
Valeriana,UPHE,,
Valeriana excelsa,UPHE,,
Valeriana officinalis,UPHE,,
Verbascum,UPHE,,
Veronica,UPHE,,
Vicia,UPHE,,
Vicia cracca,UPHE,,
Vicia Lathyrus,UPHE,,
Vicia sylvatica,UPHE,,
Xanthium,UPHE,,
Asplenium,VACR,,
Athyrium alpestre,VACR,,
Athyrium filix femina,VACR,,
Blechnum spicant,VACR,,
Botrychium,VACR,,
Botrychium lunaria,VACR,,
Cryptogramma,VACR,,
Cryptogramma crispa,VACR,,
Cystopteris fragilis,VACR,,
Diphasiastrum,VACR,,
Diphasiastrum alpinum,VACR,,
Diphasiastrum alpinum D. complanatum,VACR,,
Diphasiastrum complanatum,VACR,,
Diphasiastrum tristachyum,VACR,,
Dryopteris,VACR,,
Dryopteris carthusiana,VACR,,
Dryopteris dilatata,VACR,,
Dryopteris filix mas,VACR,,
Equisetum,VACR,,
Gymnocarpium,VACR,,
Gymnocarpium dryopteris,VACR,,
Huperzia,VACR,,
Huperzia selago,VACR,,
Lycopodiaceae ,VACR,,
Lycopodiella inundata,VACR,,
Lycopodium ,VACR,,
Lycopodium annotinum,VACR,,
Lycopodium clavatum,VACR,,
Matteuccia,VACR,,
Matteuccia struthiopteris,VACR,,
Ophioglossum,VACR,,
Ophioglossum vulgatum,VACR,,
Osmunda regalis,VACR,,
Phegopteris connectilis,VACR,,
Polypodiaceae,VACR,,
Polypodium,VACR,,
Polypodium vulgare,VACR,,
Polystichum,VACR,,
Pteridium,VACR,,
Pteridium aquilinum,VACR,,
Selaginella,VACR,,
Selaginella selaginoides,VACR,,
Thelypteris palustris,VACR,,
Woodsia,VACR,,
